Model,Predictor,Alpha,Perturbation,Top1,Top5,Coverage,Size
Inception,Fixed,0.05,clean,0.755,0.984,0.962,2.821
Inception,Fixed,0.05,gaussian_noise,0.105,0.517,0.539,5.312
Inception,Fixed,0.05,blur,0.644,0.96,0.946,3.63
Inception,Fixed,0.05,brightness,0.659,0.965,0.938,3.266
Inception,Fixed,0.05,erasure,0.228,0.78,0.598,3.287
Inception,Fixed,0.05,jpeg,0.19,0.646,0.846,7.428
Inception,Naive,0.05,clean,0.755,0.984,0.964,2.843
Inception,Naive,0.05,gaussian_noise,0.105,0.516,0.544,5.365
Inception,Naive,0.05,blur,0.644,0.96,0.948,3.667
Inception,Naive,0.05,brightness,0.659,0.965,0.939,3.3
Inception,Naive,0.05,erasure,0.228,0.783,0.603,3.32
Inception,Naive,0.05,jpeg,0.19,0.646,0.846,7.478
Inception,APS,0.05,clean,0.755,0.984,0.963,2.813
Inception,APS,0.05,gaussian_noise,0.105,0.516,0.538,5.3
Inception,APS,0.05,blur,0.644,0.96,0.946,3.626
Inception,APS,0.05,brightness,0.659,0.965,0.937,3.26
Inception,APS,0.05,erasure,0.226,0.781,0.599,3.276
Inception,APS,0.05,jpeg,0.19,0.646,0.843,7.418
Inception,RAPS,0.05,clean,0.755,0.984,0.958,2.755
Inception,RAPS,0.05,gaussian_noise,0.105,0.516,0.408,4.0
Inception,RAPS,0.05,blur,0.644,0.96,0.925,3.252
Inception,RAPS,0.05,brightness,0.659,0.965,0.927,3.092
Inception,RAPS,0.05,erasure,0.227,0.783,0.612,3.232
Inception,RAPS,0.05,jpeg,0.19,0.646,0.548,3.992
Inception,Fixed,0.1,clean,0.755,0.984,0.93,2.144
Inception,Fixed,0.1,gaussian_noise,0.105,0.516,0.419,4.084
Inception,Fixed,0.1,blur,0.644,0.96,0.899,2.73
Inception,Fixed,0.1,brightness,0.659,0.965,0.887,2.471
Inception,Fixed,0.1,erasure,0.229,0.784,0.477,2.429
Inception,Fixed,0.1,jpeg,0.19,0.646,0.735,5.976
Inception,Naive,0.1,clean,0.755,0.984,0.931,2.168
Inception,Naive,0.1,gaussian_noise,0.106,0.516,0.423,4.116
Inception,Naive,0.1,blur,0.644,0.96,0.902,2.766
Inception,Naive,0.1,brightness,0.659,0.965,0.89,2.499
Inception,Naive,0.1,erasure,0.227,0.781,0.483,2.473
Inception,Naive,0.1,jpeg,0.19,0.646,0.739,6.026
Inception,APS,0.1,clean,0.755,0.984,0.928,2.146
Inception,APS,0.1,gaussian_noise,0.104,0.515,0.419,4.085
Inception,APS,0.1,blur,0.644,0.96,0.899,2.729
Inception,APS,0.1,brightness,0.659,0.965,0.889,2.473
Inception,APS,0.1,erasure,0.232,0.784,0.482,2.431
Inception,APS,0.1,jpeg,0.19,0.646,0.736,5.98
Inception,RAPS,0.1,clean,0.755,0.984,0.924,2.033
Inception,RAPS,0.1,gaussian_noise,0.103,0.517,0.343,3.298
Inception,RAPS,0.1,blur,0.644,0.96,0.88,2.448
Inception,RAPS,0.1,brightness,0.659,0.965,0.878,2.293
