Model,Predictor,Alpha,Perturbation,Top1,Top5,Coverage,Size
Inception,Fixed,0.05,clean,0.7555,0.9835666665852865,0.962,2.8207333333333335
Inception,Fixed,0.05,gaussian_noise,0.10546666665649414,0.516599999979655,0.5394,5.3117
Inception,Fixed,0.05,blur,0.643999999938965,0.9596666666259765,0.9460333333333333,3.6297333333333333
Inception,Fixed,0.05,brightness,0.6590333332519531,0.96509999995931,0.9380666666666667,3.266033333333333
Inception,Fixed,0.05,erasure,0.22833333332316083,0.7799333332519531,0.5984,3.286966666666667
Inception,Fixed,0.05,jpeg,0.1903666666463216,0.6459999999186198,0.8455,7.427933333333334
Inception,Naive,0.05,clean,0.7554999999186197,0.9835666666259766,0.9642666666666667,2.8425333333333334
Inception,Naive,0.05,gaussian_noise,0.1048333333231608,0.516399999979655,0.5440666666666667,5.364933333333333
Inception,Naive,0.05,blur,0.6439999999593099,0.9596666666666667,0.9478333333333333,3.6666666666666665
Inception,Naive,0.05,brightness,0.6590333332926432,0.96509999995931,0.9386333333333333,3.3005
Inception,Naive,0.05,erasure,0.22826666664632161,0.7834999999186197,0.6033666666666667,3.3198
Inception,Naive,0.05,jpeg,0.19036666666666666,0.645999999938965,0.8463666666666667,7.478133333333333
Inception,APS,0.05,clean,0.7554999999186197,0.9835666666259766,0.9634,2.8128333333333333
Inception,APS,0.05,gaussian_noise,0.10476666666666666,0.5164333333333333,0.5380333333333334,5.299733333333333
Inception,APS,0.05,blur,0.6439999999186198,0.9596666665852864,0.9461666666666667,3.6255333333333333
Inception,APS,0.05,brightness,0.6590333333129883,0.9651,0.9370666666666667,3.2602
Inception,APS,0.05,erasure,0.22593333333333335,0.7807999999186197,0.5990666666666666,3.2763666666666666
Inception,APS,0.05,jpeg,0.19036666666158042,0.6459999999593099,0.8431,7.4175
Inception,RAPS,0.05,clean,0.7554999999593099,0.9835666666666667,0.9579333333333333,2.7547333333333333
Inception,RAPS,0.05,gaussian_noise,0.10473333333333333,0.5162333332926432,0.4081666666666667,3.9997333333333334
Inception,RAPS,0.05,blur,0.643999999938965,0.9596666666666667,0.9247666666666666,3.2518
